authorId,authorName
A901,Charles Krasic
A902,Charles O. Schulz
A903,Charles Reis
A904,Charles Sutton
A905,Charlie Curtsinger
A906,Charly Poulliat
A907,Chastine Fatichah
A908,Che-Chun Su
A909,Che-Kuang Lin
A910,Chee Sun Won
A911,Chen Tian
A912,Chen Wu
A913,Chen Yu
A914,Chen-Hsiang Yu
A915,Chen-Khong Tham
A916,Chenchen Yang
A917,Cheng Che Chen
A918,Cheng Huang
A919,Cheng Lei
A920,Cheng Li
A921,Cheng Wang
A922,Cheng-Chun Chang
A923,Cheng-Ming Huang
A924,Cheng-Ning Huang
A925,Cheng-Ying Li
A926,ChengXiang Zhai
A927,Chengdu Huang
A928,Chengjun Liu
A929,Chengkai Li
A930,Chenguang Liu
A931,Chenguang Yu
A932,Chenhao Tan
A933,Chenwei Deng
A934,Chenxi Hou
A935,Chenxi Zheng
A936,Chenyang Yang
A937,Cheol-Hun Han
A938,Cheryl L. Grady
A939,Chew Lim Tan
A940,Chi Cao Minh
A941,Chi H. Chan
A942,Chi K. Tse
A943,Chi Zhang
A944,Chi-Hung Chi
A945,Chi-Jen Lin
A946,Chi-Jen Wu
A947,Chi-Kuo Chiang
A948,Chi-Yao Tseng
A949,Chi-Yuan Chang
A950,Chia-Wen Lin
A951,Chian-Hung Hou
A952,Chiara Bassetti
A953,Chiara Buratti
A954,Chiara Petrioli
A955,Chieh-Jan Mike Liang
A956,Chien-Wu Tsai
A957,Chih-Chun Wang
A958,Chih-Feng Wu
A959,Chih-Jen Lin
A960,Chih-Ming Chen
A961,Chih-Wei Huang
A962,Chih-Wei Tang
A963,Chih-Yang Chen
A964,Chih-Yuan Hsu
A965,Chih-Yueh Chou
A966,Chin Tau Lea
A967,Chin-Hui Lee
A968,Chin-Wan Chung
A969,Chin-Yeh Wang
A970,Ching-Fang Hsu
A971,Chinya V. Ravishankar
A972,Chiou-Ting Hsu
A973,Chiranjoy Chattopadhyay
A974,Chiung-Hsun Chen
A975,Cho W. Moon
A976,Cho-Jui Hsieh
A977,Cho-Li Wang
A978,Chokchai Leangsuksun
A979,Chong Luo
A980,Chong-Yong Lee
A981,Chongfeng Hu
A982,Chorng-Kuang Wang
A983,Chris A. C. Parker
A984,Chris Blondia
A985,Chris Budd
A986,Chris D. Nugent
A987,Chris Develder
A988,Chris Dyer
A989,Chris Fox
A990,Chris GauthierDickey
A991,Chris Hawblitzel
A992,Chris Manzie
A993,Chris Quirk
A994,Chris Russell
A995,Chris-André Leimeister
A996,Christian Biener
A997,Christian Blum
A998,Christian Callegari
A999,Christian Convey
A1000,Christian Frisson
A1001,Christian Holz
A1002,Christian Ibars
A1003,Christian Mayr
A1004,Christian Mehl
A1005,Christian Ortolf
A1006,Christian Prehofer
A1007,Christian Richthammer
A1008,Christian S. Jensen
A1009,Christian Schindelhauer
A1010,Christian Schlegel
A1011,Christian Schmaltz
A1012,Christian Schröder
A1013,Christian Steins
A1014,Christian Theobalt
A1015,Christian Vecchiola
A1016,Christian Viard-Gaudin
A1017,Christian Wöhler
A1018,Christina Leslie
A1019,Christine Solnon
A1020,Christof Leng
A1021,Christoph Böhm
A1022,Christoph Gustav Keller
A1023,Christoph Hausl
A1024,Christoph Heinz
A1025,Christoph Koch
A1026,Christoph Schnörr
A1027,Christoph Sommer
A1028,Christoph Studer
A1029,Christoph Treude
A1030,Christophe Doignon
A1031,Christophe Garcia
A1032,Christophe Lévy
A1033,Christophe Pallier
A1034,Christophe Poulain
A1035,Christophe Vangeneugden
A1036,Christopher D. Carothers
A1037,Christopher D. Manning
A1038,Christopher F. Freiling
A1039,Christopher H. Morrell
A1040,Christopher J. Rossbach
A1041,Christopher Jarabek
A1042,Christopher Jones
A1043,Christopher M. White
A1044,Christopher McCool
A1045,Christopher McMurrough
A1046,Christopher Nitta
A1047,Christopher Olston
A1048,Christopher R. Jones 0001
A1049,Christopher Ré
A1050,Christopher S. Tang
A1051,Christopher Vaill
A1052,Christopher W. O'Dell
A1053,Christopher Ward
A1054,Christopher Wren
A1055,Christos Gkantsidis
A1056,Christos H. Papadimitriou
A1057,Christos Kozyrakis
A1058,Christos Kyrkou
A1059,Christos P. Kitsos
A1060,Christos Tjortjis
A1061,Christos V. Verikoukis
A1062,Chryssis Georgiou
A1063,Chuan Luo
